,Name,Also known as,Description,Substitutions,Scientific name
123,fresh yeast,"active fresh yeast, baker's compressed yeast, cake yeast, compressed yeast, wet yeast","This form of yeast usually comes in 0.6-ounce or 2-ounce foil-wrapped cakes.   It works faster and longer than active dry yeast, but it's very perishable and loses potency a few weeks after it's packed.  It's popular among commercial bakers, who can keep ahead of the expiration dates, but home bakers usually prefer dry yeast.  To use, soften the cake in a liquid that's 70° - 80° F.  Store fresh yeast in the refrigerator, well wrapped, or in the freezer, where it will keep for up to four months.  If you freeze it, defrost it for a day in the refrigerator before using.","['active dry yeast', 'instant yeast', 'bread machine yeast']",
124,instant yeast,"fast rising yeast, fast-rising active dry yeast, quick rise active dry yeast, quick yeast, rapid rise active dry yeast","This very active strain of yeast allows you to make bread with only one rise.  The trade-off is that some flavor is sacrificed, though this doesn't matter much if the bread is sweetened or heavily flavored with other ingredients.  Unlike ordinary active dry yeast, instant yeast doesn't need to be dissolved in liquid first--you just add it to the dry ingredients.  Look for it in the dairy case--it's usually sold in strips of three packages or in 4-ounce jars.   Before buying it, check the expiration date to make sure it's fresh.  Dry yeast can be stored at room temperature until the expiration date stamped on the jar, but it lasts even longer in the refrigerator.","['bread machine yeast', 'active dry yeast', 'fresh yeast']",
125,lievito di vaniglia,lievito vanigliato,This is an Italian yeast with a delicate vanilla flavor. Look for this in Italian markets.,['vanilla extract'],
126,nutritional yeast,,"This nutritional supplement has a pleasant nutty-cheesy flavor and is packed with protein and B vitamins.  It comes in flakes or powder and is popular with vegans and health buffs who use it to make cheese substitutes, gravies, and many other dishes.  It's also a great topping for popcorn.  Nutritional yeast is very similar to brewer's yeast, which is also used as a nutritional supplement and is made from the same strain of yeast.  The difference is that brewer's yeast is a by-product of beer production and retains some of the bitter flavor of hops.   Don't confuse nutritional yeast, which is deactivated, with active forms of yeast, like the kinds bakers, brewers, and winemakers use.  If you eat them, active yeasts will continue to grow in your intestine, robbing your body of valuable nutrients.  Look for nutritional yeast at health food stores.  Get fortified nutritional yeast if you're taking it as a source of vitamin B12.","[""brewer's yeast"", 'parmesan', 'wheat germ', 'yeast extract']",
127,potash,"pearl ash, potassium carbonate, pottasch, pottasche, saleratus",This is sometimes used to make gingerbread and honey cake.  Look for it in German markets.,['baking soda'],
128,potassium bicarbonate,,This is used as a substitute for baking soda by people on sodium-restricted diets.  Look for it in pharmacies.,['baking soda'],
129,smoked yeast,"bacon yeast, hickory-smoked yeast","This is yeast that's been smoked, giving it a bacon-like flavor.  It's used to flavor other dishes.  Don't confuse it with active forms of yeast, like the kinds bakers, brewers, and winemakers use.  If you eat them, active yeasts will continue to grow in your intestine, robbing your body of valuable nutrients.",['nutritional yeast'],
130,wine ball,"wine cube, wine yeast",These are balls of brewer's yeast that are sold in Asian markets.  They're used to make wine.,"[""brewer's yeast""]",
131,wine yeast,,"This is used to convert the sugar in fruit juices into alcohol and carbon dioxide.  There are different varieties, each best suited to producing a certain wine.  Champagne yeast, for example, produces more bubbles than other forms of wine yeast.","[""brewer's yeast"", 'wine ball']",
132,yeast,,"Yeast is a one-celled fungus that converts sugar and starch into carbon dioxide bubbles and alcohol.   This has made it a useful ally in the production of bread, beer, and wine.   There are many varieties of yeast.  Bread is made with baker's yeast, which creates lots of bubbles that become trapped in the dough, making the bread rise so it's light and airy when baked.  A small amount of alcohol is also produced, but this burns off as the bread bakes.   Beer yeast and wine yeast are used to convert sugar into alcohol and, in the case of beer and champagne, bubbles.  You should never eat raw active yeast, since it will continue to grow in your intestine and rob your body of valuable nutrients.  But once deactivated through pasteurization, yeast is a good source of nutrients.  Brewer's yeast and nutritional yeast, for example, are sold as nutritional supplements, and Australians are fond of yeast extracts--like Vegemite, Marmite, and Promite--which they spread like peanut butter on bread.",[],
133,yeast extract,"Marmite®, Promite®, Vegemite®","This is a nutritious, pungent, and salty paste that's popular in Australia, New Zealand, and Great Britain.  It's often spread with butter on bread, or mixed with hot water to make a drink   Popular brands include Vegemite®, Marmite®, which is sweeter and perhaps a bit more palatable to Americans, and Promite®, which is sweeter yet but hard to find.","['miso', 'peanut butter']",
134,yeast starter,"biga, poolish, Sourdough starter","A starter is a mixture of flour, water, and other ingredients that's been colonized by wild airborne yeast and friendly bacteria.  These one-celled immigrants lend the starter--and the breads made with it--a special character.  Sourdough starter, for example, contains a strain of yeast that's tolerant of the lactic and acetic acids produced by the lactobacilli.  Those acids give sourdough bread its characteristic tang.  The French use a soupy starter called a poolish to make their breads, while the Italians use a thicker one called a biga.  Up until the late 19th century, all yeast breads were leavened with starters, and keeping a starter alive in its crock was a routine household chore.  To keep your own starter alive, wait until it's established, then store it in an airtight container in the refrigerator.  To keep it healthy, bring it to room temperature once a week and remove all but about 25% of it (either make bread with it or discard it).  Replace what you've taken with a mixture of equal parts warm water and flour, stir, then return it to the refrigerator.  Properly maintained, a starter can last for decades, developing an ever more distinctive character as it ages.   To use a starter to make bread, remove some of it (usually about 2 cups), and use it in place of other forms of yeast.  Replace the amount you took with a mixture of equal parts flour and warm water.  Discard your starter if it becomes orange or pink, or if it develops an unpleasant odor.   It's easy to make starters from scratch, but even easier to borrow some from a friend.  Since sourdough starters must be colonized by strains of yeast and lactobacilli that are particular to certain regions (like San Francisco), a homemade starter might not yield sour bread.   Your best bet is to get a powdered sourdough starter mix from your supermarket or a mail order supplier.",['flour'],
135,Alouette,,"This is one of several spreadable cheeses that combine cream cheese with various flavorings, like herbs, garlic, pesto, and sun-dried tomatoes.   You can set them out with crackers for guests, but your gourmet friends probably won't indulge.","['Boursin', 'Rondelé']",Bos taurus
136,American cheese,"American cheese food, American pasteurized process cheese food",These are often sold in individually wrapped sandwich slices.,"['Cheddar', 'Swiss cheese']",Bos taurus
137,Appenzell,Appenzeller,This is a creamy and pleasantly stinky cow's milk cheese.,"['Emmental', 'Gruyere', 'raclette', 'fontina']",Bos taurus
138,asadero,"Chihuahua®, Oaxaca cheese, queso asadero","This stringy Mexican cheese melts nicely, so it's great on quesadillas. It is made from goat and cow's milk.","['mozzarella', 'jack cheese', 'Muenster', 'provolone']",Bos taurus
139,Asiago (aged),,"This cow's milk grating cheese is similar to Parmesan and Romano, but it's sweeter. It's good on pizza. There's no need to spring for a pricy Italian Asiago--our domestic knock-offs are pretty good. Don't confuse aged Asiago with the relatively obscure fresh Asiago cheese, which is semi-soft.","['parmesan', 'Romano', 'dry jack', 'Sapsago', 'nutritional yeast', 'black olives', 'breadcrumbs']",Bos taurus
140,Asiago (fresh),,"Asiago is a cow's milk cheese. Don't confuse this with aged Asiago, which is a firm grating cheese.",['provolone'],Bos taurus
141,Bavarian blue,,This is a mild and creamy cow's milk German blue cheese. It's good for crumbling on salads and snacking. Paladin Bavarian Blue is a popular brand.,['Blue Castello'],Bos taurus
142,Beaufort,,"This semi-firm raw cow's milk cheese is slightly sweet and has a nice texture. It's a great melting cheese, so it's often used in fondues.","['Emmental', 'Gruyere', 'fontina', 'Tomme Crayeuse cheese', 'Reblochon cheese']",Bos taurus
143,Beaumont cheese,Tomme de Beaumont,"This French cow's milk cheese has a mild, nutty flavor","['Muenster', 'Reblochon cheese', 'Havarti', 'Port Salut cheese']",Bos taurus
144,Bel Paese,,"This is a mild, semi-soft Italian cow's milk cheese that's good with apples, pears, and fruity red wines. It's also shredded and used to make pizza, risotto, and pasta dishes.","['fontina', 'Taleggio', 'Gouda', 'Havarti', 'Samsoe', 'Muenster', 'mozzarella', 'jack cheese']",Bos taurus
145,bierkäse,"beer cheese, beer kaese, bierkaese, Weisslacker","This is a soft, stinky cow's milk cheese. German like to put it on rye bread along with some sliced onion, and have it with beer. It's too overpowering to serve with wine.","['Limburger', 'Havarti']",Bos taurus
146,Bleu d'Auvergne,,"A moist, crumbly, and somewhat salty cow's milk blue cheese from France. It's milder and cheaper than Roquefort, and it works well in salad dressings or as a snacking cheese.","['Roquefort', 'Maytag Blue', ""Fourme d'Ambert""]",Bos taurus
147,Bleu de Bresse,BLUH-duh-BRESS,"This blue cheese from France is made with cow's milk, and is buttery and mild. It's a safe but unexciting cheese to serve company. An American version called Bresse bleu is milder still.","['Cambozola', 'Blue Castello', 'brie', 'Gorgonzola']",Bos taurus
148,Bleu de Chevre,Bleuet,"This French blue cheese is made with goat's milk.  It's shaped as a pyramid, and has a distinctive country (or barnyard, some would say) flavor.","['Roquefort', 'Gorgonzola']",Capra aegagrus hircus
149,Bleu de Gex,Bleu de Septmoncel (BLUH-duh-SET-mohn-SELL),"The French have been producing this excellent but hard-to-find blue cheese since the 13th century.  Made with cow's milk, it's pungent without being overpowering.",['Stilton cheese'],Bos taurus
150,Bleu des Causses,,This is mild French cow's milk blue cheese.,['Roquefort'],Bos taurus
151,Blue Castello,,"This is a rich, moist, and creamy cow's milk blue cheese. It's fairly mild and a good choice for unadventurous guests.","['Cambozola', 'Bleu de Bresse', 'Bavarian blue']",Bos taurus
152,boursault,,"This is a soft-ripened, triple crème French cow's milk cheese that is very rich and mild. For best flavor, serve at room temperature.","['Brillat Savarin cheese', 'Caprice des Dieux', 'Saint André cheese', 'Excelsior', 'brie', 'Camembert']",Bos taurus
153,Boursin,,"This creamy cheese from France is usually flavored with herbs, garlic or coarse ground pepper.  It's mild and delicate, and goes well with fresh bread and dry white wine.  Boursin is considered better than some other flavored spreadable cheeses, like Alouette or Rondelé, but none of these cheeses are well regarded by gourmets.  Store Boursin in the refrigerator but bring it to room temperature before serving.  Eat it within a few days of purchase.","['Rondelé', 'Alouette', 'parsley', 'goat cheese (fresh)']",Bos taurus
154,breakfast cream,qaimaaq,,['clotted cream'],Bos taurus
155,brick cheese,,This is a pungent American washed-rind cow's milk cheese.,"['Lagerkaese', 'Havarti', 'Cheddar', 'Limburger']",Bos taurus
156,brie,,"This French cow's milk cheese is rich, mild, and creamy, and it's soft enough to spread easily on crackers or bread. As with Camembert cheese, the Brie name isn't protected so there are lots of mediocre knock-offs on the market. Look for French Bries--they're usually much better than their American counterparts. The rind is edible.For best flavor, wait until it's perfectly ripe and warmed to room temperature before serving it.","['Camembert', 'Explorateur', 'Paglietta', ""Carré de l'est"", 'Coulommiers', 'Reblochon cheese']",Bos taurus
157,Brillat Savarin cheese,,"This soft triple crème French cow's milk cheese is rich, buttery, and mild, though some find it a bit sour and salty.","['boursault', 'Caprice des Dieux', 'Saint André cheese', 'Excelsior', 'brie']",Bos taurus
158,Brinza cheese,"Bryndza cheese, Brynza cheese","Look for this salty sheep's milk cheese in Eastern European markets.  It's spreadable when young, but becomes crumbly as it ages.  Like Feta, it's good in salads or melted on pizza",['feta'],Ovis aries
159,burrata,,"Burrata is a soft, white Italian cow's milk cheese that similar to fresh mozzarella, except that the balls are filled with stracciatella and cream, making it especially rich and creamy. It would work well in a Caprese salads or as an appetizer.",['mozzarella'],
160,buttermilk,,"Despite its name and creamy consistency, buttermilk is relatively low in fat. It's sometimes tolerated by people with lactose intolerance since some of the lactose is fermented by bacteria. Most of the buttermilk found in supermarkets is cultured buttermilk, made by adding a bacterial culture to low-fat or nonfat milk. More authentic and tasty, though, is churn buttermilk, which is the liquid that remains after milk is churned into butter. Since recipes often call for just small amounts of buttermilk, many cooks use reconstituted powdered buttermilk. Churn buttermilk may require longer baking times than ordinary commercial buttermilk.","['molasses', 'milk 3.5%', 'lemon juice', 'milk 3.5%', 'cream of tartar', 'yogurt']",Bos taurus
161,buttermilk cheese,,"You won't find this tangy, creamy cheese in supermarkets, but it's easy to make at home.  To make your own:  Line a colander with several folds of cheesecloth or a kitchen towel.  Pour buttermilk into the cloth, then put the colander into a larger container and let it drain overnight in the refrigerator until it's reduced to a cheeselike consistency.","['buttermilk', 'ricotta cheese', 'cream cheese']",Bos taurus
162,Cabrales,queso de Cabrales,This is a crumbly and very pungent blue cheese from Spain. It is usuually made from cow's milk but can be made with other kinds of milk.,"['picon', 'Valdeon', 'Roquefort']",Bos taurus
163,Caciocavallo,Cacciocavallo,This Italian cheese is similar to provolone. This can be made from cow’s milk or sheep’s milk.,"['provolone', 'Kashkaval', 'scamorza', 'kasseri', 'mozzarella']",
164,Caciotta,Casciotta,This mild Italian cheese is made with a blend of sheep's milk and cow's milk cheese.,"['pepper jack', 'jack cheese']",Bos taurus
165,Caerphilly,,This Welsh cow's milk cheese is crumbly and a good melter.,['Cheddar'],Bos taurus
166,Cambozola,,"This German cow's milk cheese combines the moist, rich creaminess of Camembert with the sharpness of blue Gorgonzola. It's one of the mildest blue cheeses.","['Blue Castello', 'Bleu de Bresse', 'brie', 'Camembert', 'Saga blue', 'Gorgonzola']",Bos taurus
167,Camembert,,"This popular soft-ripened cow's milk cheese is buttery rich and wonderful to spread on hot French bread. The name's not protected, so there are lots of Camemberts of varying quality on the market. Try to get a French raw milk Camembert--our pasteurized domestic versions are bland in comparison. Use within a few days after purchasing. For best flavor, serve at room temperature.","['brie', 'Explorateur', 'Paglietta']",Bos taurus
168,Cantal,,This French cow's milk cheese is sweet when young but earthy and grassy when aged. It's a reliable party-pleaser--mild but complex.,"['Cheddar', 'Gruyere', 'jack cheese', 'Lancashire']",Bos taurus
169,Caprice des Dieux,,This oval French cow's milk cheese resembles Camembert and Brie.,"['Camembert', 'brie', 'Brillat Savarin cheese', 'Saint André cheese', 'boursault']",Bos taurus
170,caprino fresco,"caprini, fresh caprino",This is an excellent Italian fresh goat cheese that's hard to find in the U.S.,['robiola Piemonte'],Capra aegagrus hircus
171,caprino stagionato,aged caprino,This is an excellent Italian aged raw goat's milk cheese that's hard to find in the U.S.,['chevre (aged)'],
172,Carré de l'est,,"This is a square washed rind, moderately stinky cow's milk cheese from the Lorraine region of France.","['Epoisses', ""Pont-l'Evêque"", 'Maroilles', 'brie', 'Camembert']",Bos taurus
173,angel food cake pan,,These usually have removable bottoms.,[],
174,apple corer,,,['chef knife'],
175,apple peeler and corer,,,['paring knife'],
176,apple slicer,,,['paring knife'],
177,apron,,,[],
178,bacon press,,,[],
179,bamboo skewers,,,[],
180,barbecue tools,,"These usually include a spatula, tongs and a fork.",[],
181,basting brush,,,['bulb baster'],
182,blender,electric blender,,['food processor'],
183,bottle opener,church key,,[],
184,bowl,small bowl,,"['orange', 'bell pepper']",
185,bread board,,,[],
186,bread knife,,,['chef knife'],
187,broiler pan,,,['roasting pan'],
188,brushes,"cleaning brushes, scrub brushes",,[],
189,bulb baster,,,['basting brush'],
190,bundt pan,kugelhupf mold,,[],
191,butter muslin,"cheese muslin, muslin cloth",This resembles a tightly woven cheesecloth and is used for straining fine particles from a liquid.,[],
192,cake board,cake circle,,[],
193,cake pan,layer cake pan,,[],
194,can opener,,,[],
195,candy thermometer,,,[],
196,casserole pot,casserole pan,,['clay pot'],
197,cast-iron skillet,"cast-iron pan, iron pan, iron skillet",,"['frying pan', 'sauté pan']",
198,ceramic bowl,,,['copper bowl'],
199,charcoal barbecue,hibachi,These require a 40 minute lead time to allow the charcoal to heat up.,"['gas barbecue', 'meat smoker']",
200,cheesecloth,,Includes fine cheesecloth,[],
201,chef knife,carving knife,,['bread knife'],
202,chinois,,This fits on top of a deep container and mashes food that is pressed through it.,[],
203,chopsticks,,These are substitutes for tongs.,['fork'],
204,citrus juicer,"citrus press, lemon juicer",,['reamer'],
205,clam knife,"oyster knife, oyster shucker",,[],
206,clay pot,,,"['casserole pot', 'dutch oven']",
207,cocktail shaker,,This is for mixing cocktails.,['food storage containers'],
208,cocktail strainer,bar strainer,These are used to shake and strain cocktails.,['sieve'],
209,coffee filter,,,['paper towels'],
210,coffee grinder,,,"['blender', 'pepper mill']",
211,colander,,Cooks use these to wash foods or to drain noodles or vegetables after boiling.  Large metal ones are best.,"['tongs', 'sieve']",
212,almond oil,"expressed almond oil, huile d'amande, sweet almond oil",Nut oils are best used in cold dishes; heat destroys their delicate flavor.,"['hazelnut oil', 'walnut oil', 'vegetable oil', 'olive oil']",Prunus dulcis
213,annatto oil,"achiote oil, annato oil, annatto seed oil",Annatto oil adds a bright red color and some flavor to foods. It is prepared by grinding annatto seeds and mixing the powder with oil.,"['annatto seeds', 'grapeseed oil']",Bixa orellana
214,annatto paste,"achiote paste, annatto lard",Annatto paste adds a bright red color and some flavor to foods. It is prepared by grinding annatto seeds and mixing the powder with lard.,"['lard', 'food coloring']",Bixa orellana
215,avocado oil,,,['grapeseed oil'],Persea americana
216,bacon grease,bacon fat,"This is the fat that remains in the pan after cooking bacon. It's very flavorful, but high in cholesterol.",['lardo'],Sus scrofa domesticus
217,butter,"Salted butter, sweet butter, sweet cream butter, unsalted butter","This is a delicious solid fat churned from milk. It's used in baking, frying, and as a spread on toast and muffins. Recipes that call for butter in most better cookbooks are referring to unsalted butter = sweet cream butter = sweet butter. Salted butter doesn't spoil as readily (the salt serves as a preservative). See also the entries for whipped butter and European-style butter.","['olive oil', 'margarine', 'heavy cream', 'shortening', 'lard']",
218,butter powder,,,"['butter', 'margarine']",
219,butter-flavored spray,,,"['cooking spray', 'butter']",
220,canola oil,"lear oil, rapeseed oil","Canola oil is a versatile, neutral-tasting oil that is very low in saturated fat.   Puritan is a well-known brand.","['corn oil', 'peanut oil', 'vegetable oil', 'cooking spray', 'grapeseed oil', 'sunflower oil']",
221,caul fat,,"Look for this in the meat sections of Asian, French, and Italian markets.  Caul fat from pork is considered superior to caul fat from lamb.",['bacon'],
222,clarified butter,"AMF, anhydrous milkfat, butter oil, drawn butter, ghee","This is butter without the milk solids, so it doesn't go rancid or smoke when heated to a high temperature. Look for jars of it in Indian markets.","['butter', 'canola oil', 'vegetable oil', 'butter', 'cooking spray']",
223,coconut oil,,,"['canola oil', 'corn oil']",Cocos nucifera
224,cooking spray,,"includes vegetable oil spray, olive oil spray, and butter-flavored spray.","['vegetable oil', 'olive oil', 'butter']",
225,copha,,This is a shortening based on coconut oil that's commonly used in Australia. It's very hard to find in the U.S.,['vegetable oil'],
226,corn oil,,,"['canola oil', 'safflower oil', 'soybean oil', 'peanut oil', 'cooking spray']",Zea mays
227,duck fat,,,"['goose fat', 'lard']","Anas platyrhynchos domesticus
Anas platyrhynchos domesticus"
228,European-style butter,Plugra,"Plugra  is a domestic brand.  Since European-style butter has a lower moisture content, using it results in better pastries, icings, and sauces.",['butter'],
229,goat's butter,staka,,['butter'],Capra aegagrus hircus
230,goose fat,,,"['duck fat', 'lard']",Anser anser domesticus
231,grapeseed oil,,"This oil is pricey, but it has the highest smoke point of any oil, which makes it ideal for sautéing or frying over high heat. It's also a good salad oil. Some claim that it reduces the risk of heart disease by reducing LDL (bad cholesterol) levels in the body.","['avocado oil', 'safflower oil', 'sunflower oil', 'peanut oil', 'corn oil', 'soybean oil']",
232,hazelnut oil,,"Nut oils are best used in cold dishes, as heat destroys their delicate flavor. Store in the refrigerator.","['walnut oil', 'almond oil', 'olive oil']",Corylus avellana
233,hot chili oil,chili oil,Chinese cooks sometimes add a drop or so of this to dishes in order to heat them up. Look for small bottles of this in Asian markets and large supermarkets.,"['sesame chili oil', 'vegetable oil']",
234,lard,pork lard,"Lard is rendered pork fat. It's high in saturated fat, and quite bad for you.  Still, it's the fat of choice for making flaky pie crusts, though it's not as flavorful as butter.  Some pastry chefs combine butter with lard to achieve a balance of flavor and flakiness. Lard is also used for frying since it can reach high temperatures without smoking.  See also the entries for lard leaves and lardo.","['fatback', 'butter', 'margarine', 'bacon grease', 'shortening', 'vegetable oil']",
235,lard leaves,"barding strips, lardons, leaf lard",,['fatback'],
236,lardo,lardo di colonnata,This is unrendered pork fat that fearless Italians slice and serve on bread.,['pancetta'],
237,margarine,"diet margarine, lite margarine, oleomargarine, soft margarine, whipped margarine","In addition to regular margarine, supermarkets usually carry diet margarine = lite margarine (with about half the fat and more water and air), soft margarine, whipped margarine (containing up to 50% air).   These diet margarines make wonderful spreads, but they shouldn't be substituted for regular margarine in baked goods.  For more information, visit the Illinois Cooperative Extension Service's Lite Margarine--Substitution for Baking page.","['butter', 'shortening', 'lard']",
238,mustard oil,,Mustard oil may be hard to find in the US. Indian markets would be your best bet.,"['mustard powder', 'balsamic vinegar']",Brassica
239,olive oil,,"ranked from highest to lowest quality; extra-virgin, superfine, fine, virgin, and pure.","['almond oil', 'hazelnut oil', 'sesame oil', 'walnut oil', 'peanut oil', 'corn oil', 'cooking spray']",
240,olive oil spray,,,"['cooking spray', 'olive oil']",
241,palm oil,dende oil,"This bright orange palm oil is a staple in Brazilian cuisine, but very high in saturated fat","['annatto oil', 'peanut oil']",
242,peanut oil,,,"['corn oil', 'soybean oil', 'safflower oil', 'canola oil', 'vegetable oil', 'cooking spray']",
243,roasted garlic oil,,,['vegetable oil'],
244,safflower oil,,,"['canola oil', 'corn oil', 'soybean oil', 'peanut oil', 'cooking spray']",Carthamus tinctorium
245,schmaltz,,,"['onion', 'corn oil']",
246,sesame chili oil,,,"['sesame oil', 'hot chili oil', 'sesame oil']",
247,sesame oil,,"includes light sesame oil and stronger dark sesame oil. Sesame oil has a low smoke point and is relatively expensive, so it's not good for frying.",['sunflower oil'],Sesamum indicum
248,shortening,"Crisco, vegetable shortening",Shortening can be made from either animal fat or vegetable oil. Crisco is a popular brand.,"['butter', 'margarine', 'lard']",
249,soybean oil,,,"['corn oil', 'canola oil', 'safflower oil', 'peanut oil', 'cooking spray']",Glycine max
250,suet,beef suet,"It is the hard white fat on the kidneys and loins of cattle, sheep, and other animals, used to make foods including puddings, pastry, and mincemeat. Your butcher will probably give some of this to you for free.","['shortening', 'fatback', 'butter']",
251,sunflower oil,,,"['walnut oil', 'safflower oil', 'canola oil', 'grapeseed oil', 'corn oil', 'soybean oil', 'peanut oil', 'cooking spray']",Helianthus
252,American black caviar,black sturgeon roe,"If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.","['beluga caviar', 'hackleback roe', 'paddlefish roe', 'lumpfish roe']",
253,anchovies,,"It's best to get these salted rather than canned.  Rinse the salt off before using.  Unopened canned anchovies can be stored for up to a year in a dry, cool place. Once opened, they will keep for up to two days if you wrap them well and refrigerate them.","['anchovy paste', 'smelt', 'sardines']",Engraulidae
254,arctic char,Arctic charr,"A trout relative, the arctic char is highly prized for its sweetness and tenderness. It's often roasted or smoked.","['salmon', 'striped bass']",Salvelinus alpinus
255,ayu,"aroma fish, ayu fish, sweetfish",Japanese fishermen tie knots around the necks of cormorants (black sea birds) and have them dive and catch these exquisite fish.  They're very sweet and delicate.,['sardines'],Plecoglossus altivelis
256,Baby octopus,"octopus, baby",,"['octopus', 'squid', 'cuttlefish']",Octopoda
257,bar clam,"Atlantic surf clam, hen clam, sea clam, skimmer",,['quahog'],Spisula solidissima
258,basa,"basa catfish, bocourti, China sole, Mekong catfish, Pacific dory, panga, pangas catfish, river cobbler, swai, tra, white roughy",The flesh is firm and white and milder than our catfish. This Vietnamese catfish relative has a mild flavor and firm texture.,"['catfish', 'sole', 'Chilean sea bass']",Pangasius bocourti
259,bay scallops,Chinese scallops,Shopping hints: These are easier to find in the East than in the West. Frozen scallops are a good substitute for fresh.,"['Calico scallops', 'sea scallop', 'shark', 'cod cheeks', 'skate']",Pectinidae
260,beluga caviar,,"In recent years, over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using caviar and roe from more abundant species until the Caspian Sea sturgeon populations can recover.Beluga caviar is one of the best and priciest of the caviars. The eggs are large and bluish-grey, and slightly sweet. A pasteurized version is available in jars, but fresh caviar is much better. Malossol (lightly salted) beluga is the finest, and the most expensive. If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.For substitutions for caviar in general, click here.","['hackleback roe', 'keluga caviar', 'ossetra caviar', 'sevruga caviar', 'paddlefish roe', 'bowfin roe', 'lumpfish roe']",Huso huso
261,black sea bass,,,"['cod', 'red snapper', 'rockfish', 'tilefish', 'grouper']",Centropristis striata
262,blackfish,"cunner, hogfish, tautog, tog","This category includes hogfish and cunner, which are very similar to blackfish.","['grouper', 'monkfish', 'red snapper', 'sheepshead', 'rockfish']",Tautoga onitis
263,blood clam,"blood cockle, bloody clam, clam, blood",,[],Tegillarca granosa
264,blue crab,"Atlantic blue crab, Chesapeake blue crab, soft-shell crab","These are found on the Atlantic coast. They're small, but otherwise similar to Dungeness crabs. When they molt, they're called soft-shelled crabs, a wonderful delicacy that can be eaten shell and all",[],Callinectes sapidus
265,bluefin tuna,,This is the favorite for sushi. It is the most expensive.,['albacore'],Thunnus
266,bluefish,"elf, tailor",,"['butterfish', 'whitefish', 'mackerel', 'striped bass']",Pomatomus saltatrix
267,Bombay duck,"bombili, bummalo, loitta, lote, strange fish",This is a ten inch fish is native to coastal India. It is eaten fresh or salted and dried. It can have a very powerful smell.,"['smoked whitefish', 'bonito dried']",Harpadon nehereus
268,bonita,"bonita tuna, bonito ((incorrectly)), false albacore, little tuna, little tunny",,"['albacore', 'yellowfin tuna', 'swordfish', 'shark']",Scombridae
269,bonito dried,"katsuo-bushi, katsuobushi","Bonito are related to mackerel, and the Japanese dry them and use them in soups. They're often shaved into thin flakes called bonito flakes or hanakatsuo.",[],Ipomoea batatas
270,bonito flakes,"dried bonito flakes, hana-katsuo, hanakatsuo, katsuobushi, kezuri-bushi, kezuribushi","This includes kezuribushi = kezuri-bushi, a version with smaller flakes.","['anchovy paste', 'bacon']",Ipomoea batatas
271,bottarga,"botarega, botargo, boutarque, salted mullet roe, Sardinian caviar","This Mediterranean specialty is made from the salted and sun-dried roe of either tuna (bottarga di tonno) or mullet (bottarga di muggine). You usually buy it as a sausage and shave off thin slices for hors d'oeuvres or grate it over pasta, fish, or salads. It's expensive but very tasty.","['tarama', 'smoked cod roe']",
272,bowfin roe,"American black caviar, black American bowfin caviar, black sturgeon roe, choupique","This has small, very dark olive-green eggs with medium firmness. It's an inexpensive, environmentally responsible alternative to the luxury caviars from the Caspian Sea. Consider perking up the flavor with a splash of fresh lemon juice.","['caviar', 'hackleback roe', 'paddlefish roe']",
273,buffalofish,"bernard buffalo, brown buffalo, gourdhead, ictiobus, marblehead, roundhead",The buffalo fish is a North American bottom feeding game fish. It is similar to a carp. They are long lived and can grow up to 80 lb. and 4'.,"['butterfish', 'whitefish']","Catostomidae, bubalus, Ictiobus"
274,butterfish,"American butterfish, Atlantic butterfish, sablefish","The name ""butterfish"" is sometimes also given to sablefish and to the delicious escolar, which you should read about before buying, since it's also called ex-lax fish.","['harvestfish', 'bluefish', 'buffalofish', 'whitefish']",Peprilus triacanthus
275,Calico scallops,,,"['bay scallops', 'sea scallop', 'shark', 'cod cheeks', 'skate']",Pectinidae
276,canal shrimp,"kuruma ebi, shrimp, canal","These are popular in Japan, where they're often served as tempura.","['shrimp', 'shrimp meat']",
277,cape capensis,"African hake, Cape hake, Cape whiting, shallow-water Cape hake, South African hake",,"['cod', 'pollock']",Merluccius capensis
278,capelin roe,masago,"Japanese cooks use these tiny, fluorescent eggs as a topping for sushi.","['flying fish roe', 'golden caviar']",Mallotus villosus
279,carp,While carp,,"['buffalofish', 'bluefish', 'perch', 'Chilean sea bass']",Cyprinidae
280,catfish,,,"['mahi-mahi', 'grouper', 'pike', 'whitefish']",Siluriformes
