,Name,Also known as,Description,Substitutions,Scientific name
134,yeast starter,"biga, poolish, Sourdough starter","A starter is a mixture of flour, water, and other ingredients that's been colonized by wild airborne yeast and friendly bacteria.  These one-celled immigrants lend the starter--and the breads made with it--a special character.  Sourdough starter, for example, contains a strain of yeast that's tolerant of the lactic and acetic acids produced by the lactobacilli.  Those acids give sourdough bread its characteristic tang.  The French use a soupy starter called a poolish to make their breads, while the Italians use a thicker one called a biga.  Up until the late 19th century, all yeast breads were leavened with starters, and keeping a starter alive in its crock was a routine household chore.  To keep your own starter alive, wait until it's established, then store it in an airtight container in the refrigerator.  To keep it healthy, bring it to room temperature once a week and remove all but about 25% of it (either make bread with it or discard it).  Replace what you've taken with a mixture of equal parts warm water and flour, stir, then return it to the refrigerator.  Properly maintained, a starter can last for decades, developing an ever more distinctive character as it ages.   To use a starter to make bread, remove some of it (usually about 2 cups), and use it in place of other forms of yeast.  Replace the amount you took with a mixture of equal parts flour and warm water.  Discard your starter if it becomes orange or pink, or if it develops an unpleasant odor.   It's easy to make starters from scratch, but even easier to borrow some from a friend.  Since sourdough starters must be colonized by strains of yeast and lactobacilli that are particular to certain regions (like San Francisco), a homemade starter might not yield sour bread.   Your best bet is to get a powdered sourdough starter mix from your supermarket or a mail order supplier.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'flour'}]",
135,Alouette,,"This is one of several spreadable cheeses that combine cream cheese with various flavorings, like herbs, garlic, pesto, and sun-dried tomatoes.   You can set them out with crackers for guests, but your gourmet friends probably won't indulge.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Boursin'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Rondelé'}]",Bos taurus
136,American cheese,"American cheese food, American pasteurized process cheese food",These are often sold in individually wrapped sandwich slices.,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Cheddar'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Swiss cheese'}]",Bos taurus
137,Appenzell,Appenzeller,This is a creamy and pleasantly stinky cow's milk cheese.,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Emmental'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Gruyere'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'raclette'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'fontina'}]",Bos taurus
138,asadero,"Chihuahua®, Oaxaca cheese, queso asadero","This stringy Mexican cheese melts nicely, so it's great on quesadillas. It is made from goat and cow's milk.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'mozzarella'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'jack cheese'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Muenster'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'provolone'}]",Bos taurus
139,Asiago (aged),,"This cow's milk grating cheese is similar to Parmesan and Romano, but it's sweeter. It's good on pizza. There's no need to spring for a pricy Italian Asiago--our domestic knock-offs are pretty good. Don't confuse aged Asiago with the relatively obscure fresh Asiago cheese, which is semi-soft.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'parmesan'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Romano'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'dry jack'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Sapsago'}, {'Carbs': '', 'Name': 'nutritional yeast'}, {'Carbs': '', 'Calories': '6.1 g', 'Salt': '105 Cals.', 'Fats': '735 mg', 'Cholesterol': '9.5 g', 'Vitamin C': '0 mg', 'Calcium': '1.1 mg', 'Protein': '90 mg', 'Sugars': '0.9 g', 'Fiber': '0 g', 'Mono fats': '3 g', 'Poly fats': '7 g', 'Saturated fats': '0.8 g', 'Name': 'black olives'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'breadcrumbs'}]",Bos taurus
140,Asiago (fresh),,"Asiago is a cow's milk cheese. Don't confuse this with aged Asiago, which is a firm grating cheese.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'provolone'}]",Bos taurus
141,Bavarian blue,,This is a mild and creamy cow's milk German blue cheese. It's good for crumbling on salads and snacking. Paladin Bavarian Blue is a popular brand.,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Blue Castello'}]",Bos taurus
142,Beaufort,,"This semi-firm raw cow's milk cheese is slightly sweet and has a nice texture. It's a great melting cheese, so it's often used in fondues.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Emmental'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Gruyere'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'fontina'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Tomme Crayeuse cheese'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Reblochon cheese'}]",Bos taurus
143,Beaumont cheese,Tomme de Beaumont,"This French cow's milk cheese has a mild, nutty flavor","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Muenster'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Reblochon cheese'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Havarti'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Port Salut cheese'}]",Bos taurus
144,Bel Paese,,"This is a mild, semi-soft Italian cow's milk cheese that's good with apples, pears, and fruity red wines. It's also shredded and used to make pizza, risotto, and pasta dishes.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'fontina'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Taleggio'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Gouda'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Havarti'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Samsoe'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Muenster'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'mozzarella'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'jack cheese'}]",Bos taurus
145,bierkäse,"beer cheese, beer kaese, bierkaese, Weisslacker","This is a soft, stinky cow's milk cheese. German like to put it on rye bread along with some sliced onion, and have it with beer. It's too overpowering to serve with wine.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Limburger'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Havarti'}]",Bos taurus
146,Bleu d'Auvergne,,"A moist, crumbly, and somewhat salty cow's milk blue cheese from France. It's milder and cheaper than Roquefort, and it works well in salad dressings or as a snacking cheese.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Roquefort'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Maytag Blue'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': ""Fourme d'Ambert""}]",Bos taurus
147,Bleu de Bresse,BLUH-duh-BRESS,"This blue cheese from France is made with cow's milk, and is buttery and mild. It's a safe but unexciting cheese to serve company. An American version called Bresse bleu is milder still.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Cambozola'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Blue Castello'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'brie'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Gorgonzola'}]",Bos taurus
148,Bleu de Chevre,Bleuet,"This French blue cheese is made with goat's milk.  It's shaped as a pyramid, and has a distinctive country (or barnyard, some would say) flavor.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Roquefort'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Gorgonzola'}]",Capra aegagrus hircus
149,Bleu de Gex,Bleu de Septmoncel (BLUH-duh-SET-mohn-SELL),"The French have been producing this excellent but hard-to-find blue cheese since the 13th century.  Made with cow's milk, it's pungent without being overpowering.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Stilton cheese'}]",Bos taurus
150,Bleu des Causses,,This is mild French cow's milk blue cheese.,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Roquefort'}]",Bos taurus
151,Blue Castello,,"This is a rich, moist, and creamy cow's milk blue cheese. It's fairly mild and a good choice for unadventurous guests.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Cambozola'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Bleu de Bresse'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Bavarian blue'}]",Bos taurus
152,boursault,,"This is a soft-ripened, triple crème French cow's milk cheese that is very rich and mild. For best flavor, serve at room temperature.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Brillat Savarin cheese'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Caprice des Dieux'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Saint André cheese'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Excelsior'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'brie'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Camembert'}]",Bos taurus
153,Boursin,,"This creamy cheese from France is usually flavored with herbs, garlic or coarse ground pepper.  It's mild and delicate, and goes well with fresh bread and dry white wine.  Boursin is considered better than some other flavored spreadable cheeses, like Alouette or Rondelé, but none of these cheeses are well regarded by gourmets.  Store Boursin in the refrigerator but bring it to room temperature before serving.  Eat it within a few days of purchase.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Rondelé'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Alouette'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'parsley'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'goat cheese (fresh)'}]",Bos taurus
154,breakfast cream,qaimaaq,,"[{'Carbs': '', 'Name': 'clotted cream'}]",Bos taurus
155,brick cheese,,This is a pungent American washed-rind cow's milk cheese.,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Lagerkaese'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Havarti'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Cheddar'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Limburger'}]",Bos taurus
156,brie,,"This French cow's milk cheese is rich, mild, and creamy, and it's soft enough to spread easily on crackers or bread. As with Camembert cheese, the Brie name isn't protected so there are lots of mediocre knock-offs on the market. Look for French Bries--they're usually much better than their American counterparts. The rind is edible.For best flavor, wait until it's perfectly ripe and warmed to room temperature before serving it.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Camembert'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Explorateur'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Paglietta'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': ""Carré de l'est""}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Coulommiers'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Reblochon cheese'}]",Bos taurus
157,Brillat Savarin cheese,,"This soft triple crème French cow's milk cheese is rich, buttery, and mild, though some find it a bit sour and salty.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'boursault'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Caprice des Dieux'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Saint André cheese'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Excelsior'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'brie'}]",Bos taurus
158,Brinza cheese,"Bryndza cheese, Brynza cheese","Look for this salty sheep's milk cheese in Eastern European markets.  It's spreadable when young, but becomes crumbly as it ages.  Like Feta, it's good in salads or melted on pizza","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'feta'}]",Ovis aries
159,burrata,,"Burrata is a soft, white Italian cow's milk cheese that similar to fresh mozzarella, except that the balls are filled with stracciatella and cream, making it especially rich and creamy. It would work well in a Caprese salads or as an appetizer.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'mozzarella'}]",
